movie_id,movie_title,duration,color,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_imdb_link
37,Transformers: Revenge of the Fallen ,150,Color,English,USA,PG-13,200000000,2009,6,2.35,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1
38,Transformers: Age of Extinction ,165,Color,English,USA,PG-13,210000000,2014,5.7,2.35,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1
39,Oz the Great and Powerful ,130,Color,English,USA,PG,215000000,2013,6.4,2.35,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1
40,The Amazing Spider-Man 2 ,142,Color,English,USA,PG-13,200000000,2014,6.7,2.35,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1
41,TRON: Legacy ,125,Color,English,USA,PG,170000000,2010,6.8,2.35,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1
42,Cars 2 ,106,Color,English,USA,G,200000000,2011,6.3,2.35,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1
43,Green Lantern ,123,Color,English,USA,PG-13,200000000,2011,5.6,2.35,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1
44,Toy Story 3 ,103,Color,English,USA,G,200000000,2010,8.3,1.85,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1
45,Terminator Salvation ,118,Color,English,USA,PG-13,200000000,2009,6.6,2.35,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1
46,Furious 7 ,140,Color,English,USA,PG-13,190000000,2015,7.2,2.35,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1
47,World War Z ,123,Color,English,USA,PG-13,190000000,2013,7,2.35,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1
48,X-Men: Days of Future Past ,149,Color,English,USA,PG-13,200000000,2014,8,2.35,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1
49,Star Trek Into Darkness ,132,Color,English,USA,PG-13,190000000,2013,7.8,2.35,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1
50,Jack the Giant Slayer ,114,Color,English,USA,PG-13,195000000,2013,6.3,2.35,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1
51,The Great Gatsby ,143,Color,English,Australia,PG-13,105000000,2013,7.3,2.35,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1
52,Prince of Persia: The Sands of Time ,116,Color,English,USA,PG-13,200000000,2010,6.6,2.35,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1
53,Pacific Rim ,131,Color,English,USA,PG-13,190000000,2013,7,1.85,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1
54,Transformers: Dark of the Moon ,154,Color,English,USA,PG-13,195000000,2011,6.3,2.35,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1
55,Indiana Jones and the Kingdom of the Crystal Skull ,122,Color,English,USA,PG-13,185000000,2008,6.2,2.35,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1
56,The Good Dinosaur ,93,Color,English,USA,PG,,2015,6.8,2.35,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1
57,Brave ,93,Color,English,USA,PG,185000000,2012,7.2,2.35,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1
58,Star Trek Beyond ,122,Color,English,USA,PG-13,185000000,2016,7.5,2.35,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1
59,WALL·E ,98,Color,English,USA,G,180000000,2008,8.4,2.35,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1
60,Rush Hour 3 ,91,Color,English,USA,PG-13,140000000,2007,6.2,2.35,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1
61,2012 ,158,Color,English,USA,PG-13,200000000,2009,5.8,2.35,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1
62,A Christmas Carol ,96,Color,English,USA,PG,200000000,2009,6.8,2.35,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1
63,Jupiter Ascending ,127,Color,English,USA,PG-13,176000000,2015,5.4,2.35,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1
64,The Legend of Tarzan ,110,Color,English,USA,PG-13,180000000,2016,6.6,2.35,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1
65,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",150,Color,English,USA,PG,180000000,2005,6.9,2.35,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1
66,X-Men: Apocalypse ,144,Color,English,USA,PG-13,178000000,2016,7.3,2.35,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1
67,The Dark Knight ,152,Color,English,USA,PG-13,185000000,2008,9,2.35,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1
68,Up ,96,Color,English,USA,PG,175000000,2009,8.3,1.85,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1
69,Monsters vs. Aliens ,94,Color,English,USA,PG,175000000,2009,6.5,2.35,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1
70,Iron Man ,126,Color,English,USA,PG-13,140000000,2008,7.9,2.35,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1
71,Hugo ,126,Color,English,USA,PG,170000000,2011,7.5,1.85,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1
72,Wild Wild West ,106,Color,English,USA,PG-13,170000000,1999,4.8,1.85,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1
73,The Mummy: Tomb of the Dragon Emperor ,112,Color,English,USA,PG-13,145000000,2008,5.2,2.35,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1
74,Suicide Squad ,123,Color,English,USA,PG-13,175000000,2016,6.9,2.35,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1
75,Evan Almighty ,96,Color,English,USA,PG,175000000,2007,5.4,2.35,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1
76,Edge of Tomorrow ,113,Color,English,USA,PG-13,178000000,2014,7.9,2.35,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1
77,Waterworld ,176,Color,English,USA,PG-13,175000000,1995,6.1,1.85,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1
78,G.I. Joe: The Rise of Cobra ,118,Color,English,USA,PG-13,175000000,2009,5.8,2.35,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1
79,Inside Out ,95,Color,English,USA,PG,175000000,2015,8.3,1.85,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1
80,The Jungle Book ,106,Color,English,UK,PG,175000000,2016,7.8,1.85,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1
81,Iron Man 2 ,124,Color,English,USA,PG-13,200000000,2010,7,2.35,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1
82,Snow White and the Huntsman ,132,Color,English,USA,PG-13,170000000,2012,6.1,2.35,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1
83,Maleficent ,97,Color,English,USA,PG,180000000,2014,7,2.35,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1
84,Dawn of the Planet of the Apes ,130,Color,English,USA,PG-13,170000000,2014,7.6,1.85,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1
85,The Lovers ,109,Color,English,Belgium,R,,2015,4.5,,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1
86,47 Ronin ,128,Color,English,USA,PG-13,175000000,2013,6.3,2.35,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1
87,Captain America: The Winter Soldier ,136,Color,English,USA,PG-13,170000000,2014,7.8,2.35,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1
88,Shrek Forever After ,93,Color,English,USA,PG,165000000,2010,6.4,2.35,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1
89,Tomorrowland ,130,Color,English,USA,PG,190000000,2015,6.5,2.2,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1
90,Big Hero 6 ,102,Color,English,USA,PG,165000000,2014,7.9,2.39,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1
91,Wreck-It Ralph ,101,Color,English,USA,PG,165000000,2012,7.8,2.35,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1
92,The Polar Express ,100,Color,English,USA,G,165000000,2004,6.6,2.35,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1
93,Independence Day: Resurgence ,120,Color,English,USA,PG-13,165000000,2016,5.5,2.35,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1
94,How to Train Your Dragon ,98,Color,English,USA,PG,165000000,2010,8.2,2.35,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1
95,Terminator 3: Rise of the Machines ,109,Color,English,USA,R,200000000,2003,6.4,2.35,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1
96,Guardians of the Galaxy ,121,Color,English,USA,PG-13,170000000,2014,8.1,2.35,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1
97,Interstellar ,169,Color,English,USA,PG-13,165000000,2014,8.6,2.35,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1
98,Inception ,148,Color,English,USA,PG-13,160000000,2010,8.8,2.35,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1
99,Godzilla Resurgence ,120,Color,Japanese,Japan,,,2016,8.2,2.35,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1
100,The Hobbit: An Unexpected Journey ,182,Color,English,USA,PG-13,180000000,2012,7.9,2.35,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1
101,The Fast and the Furious ,106,Color,English,USA,PG-13,38000000,2001,6.7,2.35,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1
102,The Curious Case of Benjamin Button ,166,Color,English,USA,PG-13,150000000,2008,7.8,2.35,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1
103,X-Men: First Class ,132,Color,English,USA,PG-13,160000000,2011,7.8,2.35,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1
104,The Hunger Games: Mockingjay - Part 2 ,137,Color,English,USA,PG-13,160000000,2015,6.6,2.35,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1
105,The Sorcerer's Apprentice ,109,Color,English,USA,PG,150000000,2010,6.1,2.35,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1
106,Poseidon ,98,Color,English,USA,PG-13,160000000,2006,5.6,2.35,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1
107,Alice Through the Looking Glass ,113,Color,English,USA,PG,170000000,2016,6.4,1.85,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1
108,Shrek the Third ,93,Color,English,USA,PG,160000000,2007,6.1,1.85,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1
109,Warcraft ,123,Color,English,USA,PG-13,160000000,2016,7.3,2.35,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1
110,Terminator Genisys ,126,Color,English,USA,PG-13,155000000,2015,6.6,2.35,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1
111,The Chronicles of Narnia: The Voyage of the Dawn Treader ,113,Color,English,USA,PG,155000000,2010,6.3,1.78,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1
112,Pearl Harbor ,184, Black and White,English,USA,PG-13,140000000,2001,6.1,2.35,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1
113,Transformers ,144,Color,English,USA,PG-13,150000000,2007,7.1,2.35,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1
114,Alexander ,206,Color,English,Germany,R,155000000,2004,5.5,2.35,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1
115,Harry Potter and the Order of the Phoenix ,138,Color,English,UK,PG-13,150000000,2007,7.5,2.35,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1
116,Harry Potter and the Goblet of Fire ,157,Color,English,UK,PG-13,150000000,2005,7.6,2.35,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1
117,Hancock ,102,Color,English,USA,PG-13,150000000,2008,6.4,2.35,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1
118,I Am Legend ,104,Color,English,USA,PG-13,150000000,2007,7.2,2.35,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1
119,Charlie and the Chocolate Factory ,115,Color,English,USA,PG,150000000,2005,6.7,1.85,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1
120,Ratatouille ,111,Color,English,USA,G,150000000,2007,8,2.35,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1
121,Batman Begins ,128,Color,English,USA,PG-13,150000000,2005,8.3,2.35,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1
122,Madagascar: Escape 2 Africa ,89,Color,English,USA,PG,150000000,2008,6.7,1.85,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1
123,Night at the Museum: Battle of the Smithsonian ,105,Color,English,USA,PG,150000000,2009,5.9,2.35,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1
124,X-Men Origins: Wolverine ,119,Color,English,USA,PG-13,150000000,2009,6.7,2.35,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1
125,The Matrix Revolutions ,129,Color,English,Australia,R,150000000,2003,6.7,2.35,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1
126,Frozen ,102,Color,English,USA,PG,150000000,2013,7.6,2.24,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1
127,The Matrix Reloaded ,138,Color,English,USA,R,150000000,2003,7.2,2.35,http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1
128,Thor: The Dark World ,112,Color,English,USA,PG-13,170000000,2013,7.1,2.35,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1
129,Mad Max: Fury Road ,120,Color,English,Australia,R,150000000,2015,8.1,2.35,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1
130,Angels & Demons ,146,Color,English,USA,PG-13,150000000,2009,6.7,2.35,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1
131,Thor ,115,Color,English,USA,PG-13,150000000,2011,7,2.35,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1
132,Bolt ,96,Color,English,USA,PG,150000000,2008,6.9,1.85,http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1
133,G-Force ,88,Color,English,USA,PG,150000000,2009,5.1,2.35,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1
134,Wrath of the Titans ,99,Color,English,USA,PG-13,150000000,2012,5.8,1.85,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1
135,Dark Shadows ,113,Color,English,USA,PG-13,100000000,2012,6.2,1.85,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1
136,Mission: Impossible - Rogue Nation ,131,Color,English,China,PG-13,150000000,2015,7.4,2.35,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1
137,The Wolfman ,119,Color,English,USA,R,150000000,2010,5.8,1.85,http://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1
138,The Legend of Tarzan ,110,Color,English,USA,PG-13,180000000,2016,6.6,2.35,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1
139,Bee Movie ,91,Color,English,USA,PG,150000000,2007,6.2,1.85,http://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1
140,Kung Fu Panda 2 ,90,Color,English,USA,PG,150000000,2011,7.3,2.35,http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1
141,The Last Airbender ,103,Color,English,USA,PG,150000000,2010,4.2,2.35,http://www.imdb.com/title/tt0938283/?ref_=fn_tt_tt_1
142,Mission: Impossible III ,124,Color,English,USA,PG-13,150000000,2006,6.9,2.35,http://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1
143,White House Down ,131,Color,English,USA,PG-13,150000000,2013,6.4,2.35,http://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1
144,Mars Needs Moms ,88,Color,English,USA,PG,150000000,2011,5.4,2.35,http://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1
145,Flushed Away ,85,Color,English,UK,PG,149000000,2006,6.7,1.85,http://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1
146,Pan ,111,Color,English,USA,PG,150000000,2015,5.8,2.35,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1
147,Mr. Peabody & Sherman ,92,Color,English,USA,PG,145000000,2014,6.9,1.85,http://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1
148,Troy ,196,Color,English,USA,R,175000000,2004,7.2,2.35,http://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1
149,Madagascar 3: Europe's Most Wanted ,93,Color,English,USA,PG,145000000,2012,6.9,1.85,http://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1
150,Die Another Day ,133, Black and White,English,UK,PG-13,142000000,2002,6.1,2.35,http://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1
151,Ghostbusters ,116,Color,English,USA,PG-13,144000000,2016,5.5,2.35,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1
152,Armageddon ,153,Color,English,USA,PG-13,140000000,1998,6.6,2.35,http://www.imdb.com/title/tt0120591/?ref_=fn_tt_tt_1
153,Men in Black II ,88,Color,English,USA,PG-13,140000000,2002,6.1,1.85,http://www.imdb.com/title/tt0120912/?ref_=fn_tt_tt_1
154,Beowulf ,115,Color,English,USA,PG-13,150000000,2007,6.3,2.35,http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1
155,Kung Fu Panda 3 ,95,Color,English,USA,PG,145000000,2016,7.2,2.35,http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1
156,Mission: Impossible - Ghost Protocol ,133,Color,English,USA,PG-13,145000000,2011,7.4,2.35,http://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1
157,Rise of the Guardians ,97,Color,English,USA,PG,145000000,2012,7.3,1.85,http://www.imdb.com/title/tt1446192/?ref_=fn_tt_tt_1
158,Fun with Dick and Jane ,90,Color,English,USA,PG-13,100000000,2005,6.1,2.35,http://www.imdb.com/title/tt0369441/?ref_=fn_tt_tt_1
159,The Last Samurai ,154,Color,English,USA,R,140000000,2003,7.7,2.35,http://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1
160,Exodus: Gods and Kings ,150,Color,English,UK,PG-13,140000000,2014,6.1,2.35,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1
161,Star Trek ,127,Color,English,USA,PG-13,150000000,2009,8,2.35,http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1
162,Spider-Man ,121,Color,English,USA,PG-13,139000000,2002,7.3,1.85,http://www.imdb.com/title/tt0145487/?ref_=fn_tt_tt_1
163,How to Train Your Dragon 2 ,102,Color,English,USA,PG,145000000,2014,7.9,2.35,http://www.imdb.com/title/tt1646971/?ref_=fn_tt_tt_1
164,Gods of Egypt ,126,Color,English,USA,PG-13,140000000,2016,5.5,2.35,http://www.imdb.com/title/tt2404233/?ref_=fn_tt_tt_1
165,Stealth ,121,Color,English,USA,PG-13,135000000,2005,5,2.35,http://www.imdb.com/title/tt0382992/?ref_=fn_tt_tt_1
166,Watchmen ,215,Color,English,USA,R,130000000,2009,7.7,2.35,http://www.imdb.com/title/tt0409459/?ref_=fn_tt_tt_1
167,Lethal Weapon 4 ,127,Color,English,USA,R,140000000,1998,6.6,2.35,http://www.imdb.com/title/tt0122151/?ref_=fn_tt_tt_1
168,Hulk ,138,Color,English,USA,PG-13,137000000,2003,5.7,1.85,http://www.imdb.com/title/tt0286716/?ref_=fn_tt_tt_1
169,G.I. Joe: Retaliation ,122,Color,English,USA,PG-13,130000000,2013,5.8,2.35,http://www.imdb.com/title/tt1583421/?ref_=fn_tt_tt_1
170,Sahara ,124,Color,English,UK,PG-13,130000000,2005,6,2.35,http://www.imdb.com/title/tt0318649/?ref_=fn_tt_tt_1
171,Final Fantasy: The Spirits Within ,106,Color,English,USA,PG-13,137000000,2001,6.4,1.85,http://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1
172,Captain America: The First Avenger ,124,Color,English,USA,PG-13,140000000,2011,6.9,2.35,http://www.imdb.com/title/tt0458339/?ref_=fn_tt_tt_1
173,The World Is Not Enough ,128,Color,English,UK,PG-13,135000000,1999,6.4,2.35,http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1
174,Master and Commander: The Far Side of the World ,138,Color,English,USA,PG-13,150000000,2003,7.4,2.35,http://www.imdb.com/title/tt0311113/?ref_=fn_tt_tt_1
175,The Twilight Saga: Breaking Dawn - Part 2 ,115,Color,English,USA,PG-13,120000000,2012,5.5,2.35,http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1
176,Happy Feet 2 ,100,Color,English,Australia,PG,135000000,2011,5.9,2.35,http://www.imdb.com/title/tt1402488/?ref_=fn_tt_tt_1
177,The Incredible Hulk ,135,Color,English,USA,PG-13,150000000,2008,6.8,2.35,http://www.imdb.com/title/tt0800080/?ref_=fn_tt_tt_1
178,Miami Vice             ,60,Color,English,USA,TV-14,1500000,,7.5,1.33,http://www.imdb.com/title/tt0086759/?ref_=fn_tt_tt_1
179,The BFG ,117,Color,English,UK,PG,140000000,2016,6.8,2.35,http://www.imdb.com/title/tt3691740/?ref_=fn_tt_tt_1
180,The Revenant ,156,Color,English,USA,R,135000000,2015,8.1,2.35,http://www.imdb.com/title/tt1663202/?ref_=fn_tt_tt_1
181,Turbo ,96,Color,English,USA,PG,135000000,2013,6.5,2.35,http://www.imdb.com/title/tt1860353/?ref_=fn_tt_tt_1
182,Rango ,107,Color,English,USA,PG,135000000,2011,7.2,2.35,http://www.imdb.com/title/tt1192628/?ref_=fn_tt_tt_1
